Country,City,Latitude,Longitude,Avg_Precip_mm,Avg_Temp_celsius
United Arab Emirates,Abu Dhabi,24.47,54.37,0.0000,33.52
Nigeria,Abuja,9.18,7.18,1.0971,24.55
Ghana,Accra,5.55,-0.22,0.0571,25.33
Ethiopia,Addis Ababa,9.03,38.7,0.2886,14.37
Palau,Adkip,7.36,134.51,0.0857,27.29
Algeria,Algiers,36.76,3.05,0.3048,25.90
Jordan,Amman,31.95,35.93,0.0000,24.14
Netherlands,Amsterdam,52.37,4.89,0.0238,17.76
Andorra,Andorra La Vella,42.5,1.52,0.0638,10.91
Turkey,Ankara,39.93,32.86,0.1714,19.00
Madagascar,Antananarivo,-18.92,47.52,0.0095,13.81
Samoa,Apia,-13.83,-171.73,0.0824,29.67
Turkmenistan,Ashgabat,37.95,58.38,0.0000,22.62
Eritrea,Asmara,15.33,38.93,0.0381,18.87
Kazakhstan,Astana,51.18,71.43,0.0286,10.52
Greece,Athens,37.98,23.72,0.0095,24.48
Cameroon,Bafoussam,5.47,10.42,1.0238,17.91
Iraq,Baghdad,33.34,44.39,0.0000,31.43
Azerbaijan,Baku,40.4,49.88,0.0100,22.36
Mali,Bamako,12.65,-8,0.7124,25.24
Brunei Darussalam,Bandar Seri Begawan,4.88,114.93,0.3190,26.00
Thailand,Bangkok,13.75,100.52,0.0524,27.48
Central African Republic,Bangui,4.37,18.58,0.2952,24.46
Gambia,Banjul,13.45,-16.58,0.3048,26.48
Saint Kitts and Nevis,Basseterre,17.3,-62.72,0.0633,29.29
China,Beijing,39.93,116.39,0.1429,21.14
Lebanon,Beirut,33.87,35.51,0.0000,27.57
Serbia,Belgrade,44.8,20.47,0.0238,19.38
Belize,Belmopan,17.25,-88.77,0.0762,29.62
Germany,Berlin,52.52,13.4,0.2000,15.57
Switzerland,Bern,46.92,7.47,0.0000,15.62
Kyrghyzstan,Bishkek,42.87,74.6,0.0124,15.98
Guinea-Bissau,Bissau,11.85,-15.58,0.1429,26.18
Bulgaria,Bogot,43.32,24.7,0.1952,19.84
Brazil,Bras,-2.08,-58.17,0.0048,31.91
Slovakia,Bratislava,48.15,17.12,0.0333,16.90
Congo,Brazzaville,-4.26,15.28,0.1681,25.79
Barbados,Bridgetown,13.1,-59.62,0.1048,28.81
Belgium,Brussels,50.83,4.33,0.3319,17.38
Romania,Bucharest,44.43,26.1,0.0333,20.57
Hungary,Budapest,47.5,19.08,0.0714,16.43
Argentina,Buenos Aires,-34.59,-58.67,0.0162,14.67
Burundi,Bujumbura,-3.38,29.36,0.0714,22.19
Egypt,Cairo,30.05,31.25,0.0000,28.19
Australia,Canberra,-35.28,149.22,0.0095,9.67
Venezuela,Caracas,10.5,-66.92,0.3171,29.86
Paraguay,Carreria,-21.55,-58.12,0.0143,29.19
Saint Lucia,Castries,14,-61,0.1148,29.00
Russia,Chi-Chi-Erh,51.7,94.45,0.0238,12.74
Sri Lanka,Colombo,6.93,79.85,0.5814,25.70
Guinea,Conakry,9.51,-13.71,1.1467,26.60
Denmark,Copenhagen,55.67,12.58,0.1000,15.81
Senegal,Dakar,14.67,-17.44,0.7133,27.83
Syria,Damascus,33.5,36.3,0.0000,22.38
Bangladesh,Dhaka,23.72,90.41,0.1257,27.87
Timor-Leste,Dili,-8.56,125.57,0.0000,25.48
Djibouti,Djibouti,11.6,43.15,0.0095,33.20
Tanzania,Dodoma,-6.18,35.75,0.0000,20.04
Qatar,Doha,25.29,51.53,0.0000,34.38
Ireland,Dublin,53.33,-6.25,0.5019,14.00
Tajikistan,Dushanbe,38.56,68.77,0.0000,20.29
Maldives,Farukolhufunadhoo,6.15,73.27,0.7486,27.38
Sierra Leone,Freetown,8.49,-13.23,1.2976,25.74
Tuvalu,Funafuti,-8.52,179.22,0.3055,30.69
Botswana,Gaborone,-24.65,25.91,0.0000,16.54
Guyana,Georgetown,6.8,-58.17,0.1000,28.33
Guatemala,Guatemala City,14.62,-90.53,0.6133,22.82
Vietnam,Hanoi,21.03,105.85,0.3048,26.33
Zimbabwe,Harare,-17.82,31.04,0.0000,16.73
Cuba,Havana,23.13,-82.36,0.0524,30.10
Iceland,Hella,63.83,-20.4,0.2571,9.30
Finland,Helsinki,60.18,24.93,0.0143,13.38
Solomon Islands,Honiara,-9.43,159.95,0.2143,27.96
Pakistan,Islamabad,33.7,73.17,0.0219,26.62
Madagascar,Ivory,-24.37,46.45,0.0000,20.48
Indonesia,Jakarta,-6.21,106.85,0.0048,25.24
Israel,Jerusalem,31.78,35.23,0.0000,26.43
Sudan,Juba,12.15,24.45,0.0857,26.38
Afghanistan,Kabul,34.52,69.18,0.0286,17.32
Uganda,Kampala,0.32,32.57,0.2238,20.78
Nepal,Kathmandu,27.72,85.32,0.1505,21.86
Sudan,Khartoum,15.59,32.53,0.0048,32.89
Rwanda,Kigali,-1.95,30.06,0.2048,20.28
Saint Vincent and the Grenadines,Kingstown,13.13,-61.22,0.2095,29.01
Democratic Republic of Congo,Kinshasa,-4.3,15.3,0.1224,25.80
Malaysia,Kuala Lumpur,3.17,101.7,0.2667,26.00
Kuwait,Kuwait City,29.37,47.96,0.0000,35.29
Ukraine,Kyiv,50.43,30.52,0.0000,16.34
Indonesia,Laos,-8.18,114.32,0.0352,20.90
Gabon,Libreville,0.38,9.45,0.0571,25.65
Malawi,Lilongwe,-13.98,33.78,0.0000,18.95
Peru,Lima,-12.05,-77.05,0.0000,18.65
Portugal,Lisbon,38.72,-9.13,0.1533,20.10
Slovenia,Ljubljana,46.06,14.51,0.3238,14.57
Bulgaria,Lom,43.81,23.24,0.0238,19.79
United Kingdom,London,51.52,-0.11,0.0733,17.81
Angola,Luanda,-8.84,13.23,0.0048,22.43
Zambia,Lusaka,-15.42,28.28,0.0000,20.18
Luxembourg,Luxembourg,49.61,6.13,0.1290,17.00
Ukraine,Lviv,49.83,24,1.0600,15.49
Spain,Madrid,40.4,-3.68,0.1810,20.29
Marshall Islands,Majuro,7.1,171.38,0.2214,29.87
Equatorial Guinea,Malabo,3.75,8.78,0.9724,24.94
Nicaragua,Managua,12.15,-86.27,0.0381,31.24
Bahrain,Manama,26.24,50.58,0.0000,34.38
Philippines,Manila,14.6,120.98,1.6762,27.14
Mozambique,Maputo,-25.97,32.59,0.0314,20.75
Lesotho,Maseru,-29.32,27.48,0.0000,11.08
Swaziland,Mbabane,-26.32,31.13,0.0243,14.22
Mexico,Mexico City,19.43,-99.13,0.0000,22.24
Belarus,Minsk,53.9,27.57,0.1190,12.10
Somalia,Mogadishu,2.07,45.37,0.0190,24.93
Monaco,Monaco,43.73,7.42,0.0367,22.95
Liberia,Monrovia,6.31,-10.8,1.4200,25.06
Uruguay,Montevideo,-34.86,-56.17,0.1038,13.14
Comoros,Moroni,-11.7,43.24,0.1524,22.09
Russia,Moscow,55.75,37.62,0.0000,12.00
Indonesia,Murong Timor,-7.56,112.27,0.0000,22.34
Oman,Muscat,23.61,58.59,0.0000,30.14
Kenya,Nairobi,-1.28,36.82,0.0476,17.98
Thailand,Nan,18.78,100.78,0.7990,25.19
Bahamas,Nassau,25.08,-77.35,0.0000,29.85
Bolivia,National,-11.18,-67.08,0.0190,30.15
Chad,N'djamena,12.11,15.05,0.0048,26.28
India,New Delhi,28.6,77.2,0.0095,28.11
Niger,Niamey,13.52,2.12,0.0143,29.38
Cyprus,Nicosia,35.17,33.37,0.0000,24.71
Jamaica,Norman Gardens,17.97,-76.75,0.0000,31.24
Mauritania,Nouakchott,18.09,-15.98,0.1857,28.08
Tonga,Nuku`Aloia,-21.13,-175.2,0.0295,24.90
Norway,Oslo,59.92,10.75,0.0048,12.76
Canada,Ottawa,45.42,-75.7,0.0000,21.14
Burkina Faso,Ouagadougou,12.37,-1.52,0.2143,26.88
Micronesia,Palikir,6.92,158.15,0.5476,29.14
Panama,Panama City,8.97,-79.53,0.5057,28.38
